Title,Company,Salary
Python/Django Developer,Công ty TNHH Giải pháp Công Nghệ thông tin và...,35.000.000 VNĐ một tháng
"PYTHON DEVELOPER (DJANGO, FLASK)",Công Ty Cổ Phần Viễn Thông FPT Telecom,18.000.000 VNĐ - 28.000.000 VNĐ một tháng
Python Developer (Odoo),CQ TDT ASIA,15.000.000 VNĐ một tháng
Fresher/Junior Ai Developer,Công ty TNHH Công Nghệ Phần Mềm KAOPIZ,Not mentioned!
FULLSTACK DEVELOPER (PYTHON/API/JS),Việc Ơi IT Client,34.000.000 VNĐ một tháng
Python Developer | Up to $,Evolable Asia,Not mentioned!
Python Developer,Công ty Cổ phần Sáng tạo trẻ Việt Nam Miichisoft,13.000.000 VNĐ - 30.000.000 VNĐ một tháng
PYTHON/DJANGO DEVELOPER,NISSHO VIỆT NAM,20.000.000 VNĐ - 35.000.000 VNĐ một tháng
PYTHON/C++ DEVELOPER,Việc Ơi IT Client,34.000.000 VNĐ một tháng
WEB System Developer - Công Ty CNTT Của Nhật Bản,"ICONIC Co,.Ltd.",Not mentioned!
Python Developer,Chứng Khoán Sài Gòn,Not mentioned!
Python Developer,Công Ty TNHH Evizi Việt Nam,Not mentioned!
SOFTWARE DEVELOPER (NODEJS/ REACTJS/ PYTHON),Công Ty Cổ Phần Viễn Thông FPT Telecom,Not mentioned!
Python Developer,Công ty TNHH Interspace Việt Nam,15.000.000 VNĐ - 30.000.000 VNĐ một tháng
Python Developer (DB Oracle),SSI Securities Corporation,Not mentioned!
